variable,varname,group,keep
agec_tot,Population by Age - Total,People,0
agec0019_pct,% Age 0 - 19,People,1
agec065p_pct,% Age 65+,People,1
agec2029_pct,% Age 20 - 29,People,1
agec3064_pct,% Age 30 - 64,People,0
c_imstimmi0121,"% ch, Immigrant Pop. (2001-2021)",People,0
c_imstnimm0121,"% ch, Canada-born Pop. (2001-2021)",People,0
c_occ_manu0121,"% ch, Mfg. Occ. (2001-2021)",People,0
c_occ_mgmt0121,"% ch, Mgmt. Occ.(2001-2021)",People,0
c_rlgnmusl0121,"% ch, Muslim Pop. (2001-2021)",People,0
c_rlgnnone0121,"% ch, Atheist Pop. (2001-2021)",People,0
c_vminvisiblck0121,"% ch, Black Pop. (2001-2021)",People,0
c_vminvisichin0121,"% ch, Chinese Pop.(2001-2021)",People,0
c_vminvisisasi0121,"% ch, South Asian Pop. (2001-2021)",People,0
dwoc_tot,Occupied Dwellings,Place,0
dwpc_tot,Dwellings - Period of construction - Total,Place,0
dwpc00001960_pct,% Housing Built < 1960,Place,1
dwpc19611990_pct,% Housing Built 1961-90,Place,1
dwpc19912021_pct,% Housing Built 1991-2021,Place,1
dwptothr,Dwellings - Type - Other,Place,0
dwtp_tot,Dwellings - Type - Total,Place,0
dwtpapt__pct,% Apartments,Place,1
dwtpapt0_pct,% Low-rise Apartments,Place,1
dwtpapt5_pct,% High-rise Apartments,Place,1
dwtpsdet_pct,% Detached Housing,Place,1
edca_tot,Educational Attainment - Total,People,0
edcahigh_pct,% High School or Less,People,1
edcapostuniv_pct,% University degree,People,1
ethm_tot,Ethnic Origin - Total,People,0
ethmasiaeastfili_pct,% Filipino Origin,People,0
ethmasiasoutsinh_pct,% Sinhala Origin,People,0
ethmasiasoutsrla_pct,% Sri Lankan Origin,People,0
ethmasiasouttami_pct,% Tamil Origin,People,1
ethmcarijama_pct,% Jamaican Origin,People,1
ethmeurobrit_tot_pct,% British Origin,People,1
ethmeurosoutital_pct,% Italian Origin,People,1
ethmeurosoutport_pct,% Portuguese Origin,People,1
hhtn_tot,Dwellings - Tenure - Total,Place,0
hhtnown__pct,% Own,Place,1
hhtnrent_pct,% Rent,Place,1
imst_tot,Immigrant Status - Total,People,0
imstimmi_pct,% Immigrant,People,1
imstnimm_pct,% Canada-Born,People,1
imstnpr__pct,% Permanent Resident,People,0
jwmd_tot,Commute - Total,Place,0
jwmdauto_pct,% Car Commute,Place,1
jwmdbike_pct,% Bike Commute,Place,1
jwmdothr_pct,% Other Commute,Place,1
jwmdtran_pct,% Transit Commute,Place,1
jwmdwalk_pct,% Walk Commute,Place,1
lfaainlfunem_pct,% Unemployed,People,1
lnmt_tot,Mother Tongue - Total,People,0
lnmt1resnoffnabodravtami_pct,% Tamil Mother Tongue,People,1
lnmt1resoffien___pct,% English Mother Tongue,People,1
mars_tot,Marital Status - Age 15 and Over - Total,People,0
marsmaclcomm_pct,% Common Law,People,0
marsmaclmarr_pct,% Married,People,1
marsnmcldivo_pct,% Divorced,People,0
marsnmclnevr_pct,% Never Married,People,1
marsnmclsepa_pct,% Separated,People,0
marsnmclwido_pct,% Widowed,People,1
occ__tot,Occupation - Total,People,0
occ_arts_pct,"% Arts, Rec., Sports Occ.",People,1
occ_busi_pct,"% Business, Finance, Admin Occ.",People,1
occ_educ_pct,"% Ed, Law, Social, Cmnty & Gov't Occ.",People,1
occ_heal_pct,% Health Occ.,People,1
occ_manu_pct,% Mfg. and Utilities Occ.,People,1
occ_mgmt_pct,% Management Occ.,People,1
occ_othr_pct,% Other Occ.,People,0
occ_prim_pct,% Primary Occ.,People,1
